Year,Trial,Date,Week,Days.after.deployment,Observer,Reef,Treatment,Density,Goby.ID,Nearest.TOL,Starting.location,Starting.position,Total.time.exposed,proportion.exposed,Total.time.hidden,proportion.hidden,num.movement.swims,Distance.moved.review.this.column,corrected.distance.moved,num.bites,num.times.chased,num.times.chaser,area.used.cm
2017,2,8/1/2017,1,3,GJ,12,Medium,11,F26,2,rock,exposed,300,1,0,0,6,100,100,11,1,0,100
2017,2,8/1/2017,1,3,GJ,12,Medium,11,F29,1,rock,exposed,291,0.97,9,0.03,9,100,100,10,1,0,100
2017,2,8/1/2017,1,3,GJ,12,Medium,11,F24,4,rock,exposed,300,1,0,0,8,100,100,6,0,0,200
2017,2,8/2/2017,1,3,GJ,13,Low,6,F26,3,rock,exposed,297,0.99,3,0.01,2,30,30,1,0,0,20
2017,2,8/2/2017,1,3,GJ,13,Low,6,F27,2,rock,exposed,300,1,0,0,2,80,80,1,2,0,100
2017,2,8/2/2017,1,3,GJ,13,Low,6,M22,1 and 5,rock,exposed,300,1,3,0.01,50,1,1,0,0,0,50
2017,2,8/2/2017,1,3,GJ,14,Medium,6,F27/28/29,3 and 5,rock,hidden,183,0.61,117,0.39,5,75,75,1,0,0,25
2017,2,8/2/2017,1,3,GJ,14,Medium,6,F25,5,rock,exposed,300,1,0,0,5,70,70,0,0,0,100
2017,2,8/2/2017,1,3,GJ,14,Medium,6,GF26,5,rock,exposed,245,0.82,55,0.18,3,100,100,0,1,0,100
2017,2,8/2/2017,1,3,GJ,15,High,7,F28,1,rock,exposed,191,0.64,109,0.36,1,80,80,8,0,0,200
2017,2,8/2/2017,1,3,GJ,15,High,7,F34,3,rock,exposed,92,0.31,208,0.69,7,300,300,1,0,1,400
2017,2,8/2/2017,1,3,GJ,15,High,7,GF29,1,rock,exposed,26,0.09,274,0.91,3,80,80,0,0,0,150
2017,2,8/2/2017,1,3,GJ,16,Low,12,F31,5,rock,hidden,0,0,300,1,1,10,10,5,0,0,20
2017,2,8/2/2017,1,3,GJ,16,Low,12,M/F 23 (both on reef),1,rock,hidden,0,0,300,1,0,0,0,0,0,0,0
2017,2,8/2/2017,1,3,GJ,16,Low,12,F26,3,rock,exposed,185,0.62,115,0.38,2,100,100,0,0,0,100
2017,2,8/2/2017,1,3,GJ,17,High,8,GF29,2,rock,exposed,277,0.92,23,0.08,3,50,50,6,0,0,80
2017,2,8/2/2017,1,3,GJ,17,High,8,F26,1,rock,hidden,0,0,300,1,1,30,30,1,0,0,50
2017,2,8/2/2017,1,3,GJ,17,High,8,F33,3,tol (3),hidden,0,0,300,1,0,30,30,0,0,0,20
2017,2,8/2/2017,1,3,GJ,18,Medium,2,F23,1,rock,exposed,236,0.79,64,0.21,3,150,150,0,0,0,150
2017,2,8/2/2017,1,3,GJ,18,Medium,2,F28,1,rock,exposed,60,0.2,240,0.8,1,20,20,0,0,0,50
2017,2,8/2/2017,1,3,GJ,18,Medium,2,,,,,300,1,0,0,,,,0,0,0,
2017,2,8/2/2017,1,NA,GJ,mystery data (maybe reef 17),NA,NA,"small male (24/25, was stocked on R17), or untagged at same size",5,rock,hidden,0,0,300,1,3,50,50,0,0,0,40
2017,3,8/21/2017,1,5,GJ,1,Low,6,F28,5,rock ,hidden,22,0.07,278,0.93,4,60,60,3,0,0,100
2017,3,8/21/2017,1,5,GJ,1,Low,6,F25,2,rock,exposed,88,0.29,212,0.71,4,100,100,0,0,0,150
2017,3,8/21/2017,1,5,GJ,1,Low,6,F28,4 and 1,tol,hidden,58,0.19,242,0.81,5,300,300,0,0,0,150
2017,3,8/21/2017,1,5,GJ,2,High,6,F24,1,rock,hidden,0,0,300,1,3,50,50,4,0,0,50
2017,3,8/21/2017,1,5,GJ,2,High,6,F23,,rock,hidden,122,0.41,178,0.59,6,200,200,2,0,0,200
2017,3,8/21/2017,1,5,GJ,2,High,6,F31 (size estimate),2,rock,hidden,64,0.21,236,0.79,10,350,350,1,0,0,300
