Year,Trial,Trial.duration,Reef,Deployment.day,Treatment,Initial.size,Final.size,Initial.sex,Growth,Final.sex,Final.sex.female.transitional.equals.female,final.Weight.g,Male,Female,Transitional,Immature
2018,6,14,10,A,High,31,39,male,8,male,male,0.94,1,0,0,0
2018,6,14,10,A,High,21,23,female,2,male,male,0.24,1,0,0,0
2018,6,14,10,A,High,NA,16,NA,NA,immature,immature,0.04,0,0,0,1
2018,6,14,10,A,High,21,23,female,2,female,female,0.22,0,1,0,0
2018,6,14,11,A,Medium,27,29,female,2,male,male,0.44,1,0,0,0
2018,6,14,12,A,Control,24,26,female,2,female,female,0.28,0,1,0,0
2018,6,14,13,A,Low,24,27,female,3,female,female,0.32,0,1,0,0
2018,6,14,13,A,Low,28,30,female,2,transitional,female,0.5,0,0,1,0
2018,6,14,13,A,Low,25,25,female,0,female,female,0.3,0,1,0,0
2018,6,14,14,A,Medium,25,26,female,1,male,male,0.32,1,0,0,0
2018,6,14,15,A,High,30,31,female,1,transitional,female,0.44,0,0,1,0
2018,6,14,15,A,High,28,28,female,0,female,female,0.42,0,1,0,0
2018,6,14,15,A,High,21,24,female,3,male,male,0.26,1,0,0,0
2018,6,14,15,A,High,21,24,female,3,female,female,0.24,0,1,0,0
2018,6,14,16,A,Low,22,23,female,1,female,female,0.2,0,1,0,0
2018,6,14,16,A,Low,22,23,female,1,female,female,0.24,0,1,0,0
2018,6,14,16,A,Low,26,29,female,3,female,female,0.46,0,1,0,0
2018,6,14,17,A,High,25,29,female,4,male,male,0.4,1,0,0,0
2018,6,14,17,A,High,26,27,female,1,female,female,0.32,0,1,0,0
2018,6,14,18,A,Medium,22,25,female,3,female,female,0.26,0,1,0,0
2018,6,14,18,A,Medium,28,28,female,0,female,female,0.4,0,1,0,0
2018,6,14,19,A,Control,NA,11,NA,NA,immature,immature,0.04,0,0,0,1
2018,6,14,19,A,Control,27,28,female,1,male,male,0.38,1,0,0,0
2018,6,14,19,A,Control,21,22,female,1,female,female,0.22,0,1,0,0
2018,6,14,19,A,Control,24,25,female,1,female,female,0.26,0,1,0,0
2018,6,14,20,A,High,30,30,female,0,female,female,0.4,0,1,0,0
2018,6,14,20,A,High,24,26,female,2,female,female,0.3,0,1,0,0
2018,6,14,20,A,High,29,30,female,1,male,male,0.44,1,0,0,0
2018,6,14,20,A,High,21,22,female,1,female,female,0.18,0,1,0,0
2018,5,30,1,A,High,27,29,female,2,male,male,0.4,1,0,0,0
2018,5,30,1,A,High,30,30,female,0,female,female,0.5,0,1,0,0
2018,5,30,1,A,High,34,34,male,0,male,male,0.65,1,0,0,0
2018,5,30,1,A,High,NA,21,NA,NA,female,female,0.18,0,1,0,0
2018,5,30,1,A,High,NA,16,NA,NA,immature,immature,NA,0,0,0,1
2018,5,30,2,A,Low,22,27,female,5,female,female,0.36,0,1,0,0
2018,5,30,2,A,Low,28,28,female,0,female,female,0.48,0,1,0,0
2018,5,30,2,A,Low,33,36,male,3,male,male,0.76,1,0,0,0
2018,5,30,2,A,Low,30,31,female,1,female,female,0.53,0,1,0,0
