year,trial,trial.duration.days,reef,treatment,initial.size,final.size,initial.sex,growth,final.sex,weight,gravid,Sex.change,Male,Female,Transitional,Immature,notes,"total recollections (out of 360 for T4 and T5 ,out of 400 for T6)",
2018,June,30,15,Low,31,31,F,0,F,0.58,0,0,0,1,0,0,,,
2018,June,30,15,Low,33,36,M,3,M,0.83,NA,0,1,0,0,0,,,
2018,June,30,15,Low,41,41,M,0,M,1.1,NA,0,1,0,0,0,,,
2018,June,30,16,High,33,33,M,0,M,0.63,NA,0,1,0,0,0,,,
2018,June,30,16,High,27,30,F,3,F,0.5,0,0,0,1,0,0,,,
2018,June,30,16,High,25,28,F,3,F,0.38,0,0,0,1,0,0,,,
2018,June,30,16,High,NA,19,NA,#VALUE!,I,0.12,NA,NA,0,0,0,1,,,
2018,June,30,16,High,26,30,F,4,F,0.57,3,0,0,1,0,0,,,
2018,June,30,16,High,25,28,F,3,F,0.41,0,0,0,1,0,0,,,
2018,June,30,16,High,23,26,F,3,F,0.33,0,0,0,1,0,0,,,
2018,June,30,16,High,27,33,F,6,T,0.7,NA,1,0,0,1,0,,,
2018,June,30,16,High,26,28,F,2,F,0.43,0,0,0,1,0,0,,,
2018,June,30,16,High,28,31,F,3,F,0.52,0,0,0,1,0,0,,,
2018,June,30,17,Medium,28,30,F,2,F,0.5,2,0,0,1,0,0,,,
2018,June,30,17,Medium,33,36,M,3,M,0.87,NA,0,1,0,0,0,,,
2018,June,30,17,Medium,40,40,M,0,M,0.9,NA,0,1,0,0,0,,,
2018,June,30,17,Medium,31,36,F,5,M,0.84,NA,1,1,0,0,0,,,
2018,June,30,17,Medium,24,27,F,3,F,0.38,0,0,0,1,0,0,,,
2018,June,30,17,Medium,26,28,F,2,F,0.41,0,0,0,1,0,0,,,
2018,June,30,17,Medium,24,26,F,2,M,0.27,NA,1,1,0,0,0,,,
2018,June,30,17,Medium,25,26,F,1,F,0.33,0,0,0,1,0,0,,,
2018,June,30,17,Medium,23,26,F,3,F,0.28,0,0,0,1,0,0,,,
2018,June,30,17,Medium,27,29,F,2,F,0.44,3,0,0,1,0,0,,,
2018,June,30,17,Medium,29,31,F,2,F,0.53,0,0,0,1,0,0,,,
2018,June,30,17,Medium,30,31,F,1,F,0.54,0,0,0,1,0,0,,,
2018,June,30,17,Medium,28,31,F,3,F,0.53,0,0,0,1,0,0,,,
2018,June,30,17,Medium,26,29,F,3,F,0.46,3,0,0,1,0,0,,,
2018,June,30,17,Medium,29,31,F,2,F,0.52,0,0,0,1,0,0,,,
2018,June,30,17,Medium,30,32,F,2,M,0.64,NA,1,1,0,0,0,,,
2018,June,30,17,Medium,31,32,F,1,F,0.63,2,0,0,1,0,0,,,
2018,June,30,18,High,NA,10,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,18,High,NA,11,NA,#VALUE!,I,0.05,NA,NA,0,0,0,1,,,
2018,June,30,18,High,26,31,F,5,M,0.53,NA,1,1,0,0,0,,,
2018,June,30,18,High,24,27,F,3,F,0.37,0,0,0,1,0,0,,,
2018,June,30,18,High,29,32,F,3,M,0.62,NA,1,1,0,0,0,,,
2018,June,30,18,High,28,29,F,1,F,0.44,0,0,0,1,0,0,,,
2018,June,30,18,High,29,32,F,3,T,0.57,NA,1,0,0,1,0,,,
2018,August,14,1,Low,24,26,F,2,F,0.32,0,0,0,1,0,0,"less than 30 was considered female, and more than 30 was considered male. this trail was only two weeks long. I don't think it's too accurate to use it as a way to measure sex change. I'm going to put it in, but I don't see it bing too strong of an indicator",66,0.165
2018,August,14,2,Control,21,23,F,2,F,0.22,0,0,0,1,0,0,,,
2018,August,14,2,Control,NA,12,NA,#VALUE!,I,0.02,NA,NA,0,0,0,1,,,
2018,August,14,3,Medium,23,25,F,2,F,0.26,0,0,0,1,0,0,,,
2018,August,14,3,Medium,27,31,F,4,M,0.46,NA,1,1,0,0,0,,,
2018,August,14,3,Medium,23,23,F,0,F,0.24,0,0,0,1,0,0,,,
2018,August,14,3,Medium,25,26,F,1,M,0.34,NA,1,1,0,0,0,,,
2018,August,14,3,Medium,26,28,F,2,F,0.34,0,0,0,1,0,0,,,
2018,August,14,4,Low,NA,12,NA,#VALUE!,I,0.02,NA,NA,0,0,0,1,,,
2018,August,14,4,Low,23,26,F,3,T,0.32,NA,1,0,0,1,0,,,
2018,August,14,5,Control,22,24,F,2,F,0.28,0,0,0,1,0,0,,,
2018,August,14,5,Control,21,21,F,0,F,0.18,0,0,0,1,0,0,,,
2018,August,14,5,Control,24,25,F,1,M,0.32,NA,1,1,0,0,0,,,
2018,August,14,6,Medium,22,24,F,2,T,0.3,NA,1,0,0,1,0,,,
2018,August,14,6,Medium,25,25,F,0,F,0.26,0,0,0,1,0,0,,,
2018,August,14,6,Medium,24,27,F,3,F,0.36,0,0,0,1,0,0,,,
2018,August,14,6,Medium,NA,27,NA,#VALUE!,M,0.36,0,NA,1,0,0,0,,,
2018,August,14,6,Medium,22,22,F,0,F,0.24,0,0,0,1,0,0,,,
2018,August,14,6,Medium,NA,29,NA,#VALUE!,M,0.46,NA,NA,1,0,0,0,,,
2018,August,14,7,High,21,22,F,1,F,0.18,0,0,0,1,0,0,,,
2018,August,14,7,High,25,27,F,2,M,0.34,NA,1,1,0,0,0,,,
2018,August,14,7,High,23,23,F,0,F,0.26,0,0,0,1,0,0,,,
2018,August,14,7,High,28,28,F,0,F,0.42,2,0,0,1,0,0,,,
2018,August,14,7,High,33,33,M,0,T,0.64,NA,1,0,0,1,0,,,
2018,August,14,8,Control,22,23,F,1,F,0.24,0,0,0,1,0,0,,,
2018,August,14,8,Control,29,30,F,1,T,0.48,NA,1,0,0,1,0,,,
2018,August,14,8,Control,26,29,F,3,M,0.42,NA,1,1,0,0,0,,,
2018,August,14,8,Control,23,26,F,3,M,0.3,NA,1,1,0,0,0,,,
2018,August,14,8,Control,20,21,F,1,F,0.2,0,0,0,1,0,0,,,
2018,August,14,8,Control,27,27,F,0,F,0.32,1,0,0,1,0,0,,,
2018,August,14,9,Low,21,24,F,3,M,0.26,NA,1,1,0,0,0,,,
2018,August,14,9,Low,31,31,M,0,F,0.54,1,1,0,1,0,0,,,
2018,August,14,9,Low,28,29,F,1,F,0.42,3,0,0,1,0,0,,,
2018,August,14,9,Low,23,26,F,3,F,0.3,0,0,0,1,0,0,,,
2018,August,14,9,Low,33,35,M,2,T,0.7,NA,1,0,0,1,0,,,
2018,August,14,10,High,23,25,F,2,F,0.24,0,0,0,1,0,0,,,
2018,August,14,10,High,NA,18,NA,#VALUE!,I,0.14,NA,NA,0,0,0,1,,,
2018,August,14,10,High,31,39,M,8,M,0.94,NA,0,1,0,0,0,,,
2018,August,14,10,High,21,23,F,2,M,0.24,NA,1,1,0,0,0,,,
2018,August,14,10,High,NA,16,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,August,14,10,High,21,23,F,2,F,0.22,1,0,0,1,0,0,,,
2018,August,14,11,Medium,27,29,F,2,M,0.44,NA,1,1,0,0,0,,,
2018,August,14,12,Control,24,26,F,2,F,0.28,0,0,0,1,0,0,,,
2018,August,14,13,Low,24,27,F,3,F,0.32,0,0,0,1,0,0,,,
2018,August,14,13,Low,28,30,F,2,T,0.5,NA,1,0,0,1,0,,,
2018,August,14,13,Low,25,25,F,0,F,0.3,0,0,0,1,0,0,,,
2018,August,14,14,Medium,25,26,F,1,M,0.32,NA,1,1,0,0,0,,,
2018,August,14,15,High,30,31,F,1,T,0.44,NA,1,0,0,1,0,,,
2018,August,14,15,High,28,28,F,0,F,0.42,0,0,0,1,0,0,,,
2018,August,14,15,High,21,24,F,3,M,0.26,NA,1,1,0,0,0,,,
2018,August,14,15,High,21,24,F,3,F,0.24,1,0,0,1,0,0,,,
2018,August,14,16,Low,22,23,F,1,F,0.2,0,0,0,1,0,0,,,
2018,August,14,16,Low,22,23,F,1,F,0.24,0,0,0,1,0,0,,,
2018,August,14,16,Low,26,29,F,3,F,0.46,0,0,0,1,0,0,,,
2018,August,14,17,High,25,29,F,4,M,0.4,NA,1,1,0,0,0,,,
2018,August,14,17,High,26,27,F,1,F,0.32,0,0,0,1,0,0,,,
2018,August,14,18,Medium,22,25,F,3,F,0.26,0,0,0,1,0,0,,,
2018,August,14,18,Medium,28,28,F,0,F,0.4,0,0,0,1,0,0,,,
2018,August,14,19,Control,NA,11,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,August,14,19,Control,27,28,F,1,M,0.38,NA,1,1,0,0,0,,,
2018,August,14,19,Control,21,22,F,1,F,0.22,0,0,0,1,0,0,,,
2018,August,14,19,Control,24,25,F,1,F,0.26,0,0,0,1,0,0,,,
2018,August,14,20,High,30,30,F,0,F,0.4,0,0,0,1,0,0,,,
2018,August,14,20,High,24,26,F,2,F,0.3,0,0,0,1,0,0,,,
2018,August,14,20,High,29,30,F,1,M,0.44,NA,1,1,0,0,0,,,
2018,August,14,20,High,21,22,F,1,F,0.18,0,0,0,1,0,0,,,
