Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,"close.on.reef(0-0.275m, 5)","just.outside.of.small.frame.or.on.top(0.276-0.45m, 4)","within.1m.of.cage.far.from.small.cage.at.cage.frame.for.lg.cage(0.46-1m, 3)","between.1and2m.of.cage(1.1-2m, 2)","beyond2m.of.cage(2.1m+, 1)",not.present(0),total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,2,15,High,5,300,44357,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,8,480,23602,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,5,300,44357,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,8,480,23602,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,9,540,23662,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,9,540,23662,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,9,540,23662,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,6,360,44417,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,13,Low,9,540,23662,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,1,60,44575,CAPR,,,0,0,,,,,,,224,37.33333333,,,,,
GCJ,2,15,High,7,420,44477,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,7,420,44477,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,1,60,44575,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,7,420,44477,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,1,60,44575,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,7,420,44477,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,1,60,44575,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,2,120,44635,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,8,480,44537,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,8,480,44537,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,2,120,44635,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,8,480,44537,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,2,120,44635,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,8,480,44537,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,2,120,44635,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,9,540,44597,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,9,540,44597,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,9,540,44597,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,15,High,9,540,44597,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,3,180,44695,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,1,60,33790,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,1,60,33790,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,1,60,33790,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,1,60,33790,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,4,240,44755,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,2,120,33850,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,2,120,33850,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,2,120,33850,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,2,120,33850,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,5,300,44815,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,3,180,33910,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,3,180,33910,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,3,180,33910,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,3,180,33910,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,6,360,44875,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,4,240,33970,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,4,240,33970,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,4,240,33970,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,4,240,33970,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,7,420,44935,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,5,300,34030,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,5,300,34030,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,5,300,34030,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,16,Low,5,300,34030,PACL,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,8,480,44995,PANE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,1,60,34255,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,1,60,34255,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,1,60,34255,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,2,14,Medium,9,540,45055,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,2,17,High,1,60,34255,PACL,,,0,0,,,,,,,,,,,,,
