Trial,Treatment,Reef,measure,value
5,Medium,16,lethal,0
1,High,4,lethal,0
1,High,6,lethal,0
1,High,9,lethal,0.083333333
1,High,12,lethal,0.166666667
1,High,15,lethal,0
1,High,18,lethal,0.125
2,High,3,lethal,0
2,High,5,lethal,0
2,High,9,lethal,0
2,High,11,lethal,0
2,High,15,lethal,0
2,High,17,lethal,0.05
3,High,10,lethal,0.05
3,High,14,lethal,0
3,High,17,lethal,0.068181818
4,High,18,lethal,0.014705882
5,High,6,lethal,0.025
5,High,9,lethal,0.025
5,High,12,lethal,0
5,High,15,lethal,0
5,High,18,lethal,0
6,High,7,lethal,0.016666667
6,High,10,lethal,0
6,High,17,lethal,0.025
6,High,20,lethal,0.075
6,Control,2,lethal,0
6,Control,8,lethal,0.05
6,Control,12,lethal,0.020833333
6,Control,19,lethal,0.020833333
