"Trial","Reef","Treatment","T6.comparison","Read.number","contained.pred","sublethal.threat","lethal.threat","Year","Year.fact"
1,13,"Low","Low",8,1,0,0,2017,"2017"
1,13,"Low","Low",9,1,0,0,2017,"2017"
1,13,"Low","Low",10,1,0,0,2017,"2017"
1,14,"Medium","Medium",1,0,0,0,2017,"2017"
1,14,"Medium","Medium",2,0,0,0,2017,"2017"
1,14,"Medium","Medium",3,0,0,0,2017,"2017"
1,14,"Medium","Medium",4,0,0,0,2017,"2017"
1,14,"Medium","Medium",5,1,0,0,2017,"2017"
1,14,"Medium","Medium",6,1,0,0,2017,"2017"
1,14,"Medium","Medium",7,1,0,0,2017,"2017"
1,14,"Medium","Medium",8,1,1,0,2017,"2017"
1,14,"Medium","Medium",9,1,0,0,2017,"2017"
1,14,"Medium","Medium",10,0,0,0,2017,"2017"
1,15,"High","High",1,1,0,1,2017,"2017"
1,15,"High","High",2,0,0,0,2017,"2017"
1,15,"High","High",3,1,1,0,2017,"2017"
1,15,"High","High",4,0,0,0,2017,"2017"
1,15,"High","High",5,1,0,0,2017,"2017"
1,15,"High","High",6,0,0,0,2017,"2017"
1,15,"High","High",7,1,0,0,2017,"2017"
1,15,"High","High",8,0,0,0,2017,"2017"
1,15,"High","High",9,0,0,0,2017,"2017"
1,15,"High","High",10,1,0,0,2017,"2017"
1,16,"Low","Low",1,1,0,0,2017,"2017"
1,16,"Low","Low",2,1,0,0,2017,"2017"
1,16,"Low","Low",3,1,0,0,2017,"2017"
1,16,"Low","Low",4,1,0,0,2017,"2017"
1,16,"Low","Low",5,1,0,0,2017,"2017"
1,16,"Low","Low",6,1,0,0,2017,"2017"
1,16,"Low","Low",7,0,0,0,2017,"2017"
1,16,"Low","Low",8,0,0,0,2017,"2017"
1,16,"Low","Low",9,0,0,0,2017,"2017"
1,16,"Low","Low",10,0,0,0,2017,"2017"
1,17,"Medium","Medium",1,0,0,0,2017,"2017"
1,17,"Medium","Medium",2,1,0,0,2017,"2017"
1,17,"Medium","Medium",3,1,1,0,2017,"2017"
1,17,"Medium","Medium",4,0,0,0,2017,"2017"
1,17,"Medium","Medium",5,0,0,0,2017,"2017"
1,17,"Medium","Medium",6,0,0,0,2017,"2017"
1,17,"Medium","Medium",7,1,0,0,2017,"2017"
1,17,"Medium","Medium",8,0,0,0,2017,"2017"
1,17,"Medium","Medium",9,0,0,0,2017,"2017"
1,17,"Medium","Medium",10,0,0,0,2017,"2017"
1,18,"High","High",1,0,0,0,2017,"2017"
1,18,"High","High",2,0,0,0,2017,"2017"
1,18,"High","High",3,0,0,0,2017,"2017"
1,18,"High","High",4,0,0,0,2017,"2017"
1,18,"High","High",5,1,0,1,2017,"2017"
1,18,"High","High",6,1,0,0,2017,"2017"
1,18,"High","High",7,1,0,1,2017,"2017"
1,18,"High","High",8,0,0,0,2017,"2017"
1,18,"High","High",9,1,1,0,2017,"2017"
1,18,"High","High",10,1,0,1,2017,"2017"
2,1,"Medium","Medium",1,1,1,0,2017,"2017"
2,1,"Medium","Medium",2,0,0,0,2017,"2017"
2,1,"Medium","Medium",3,1,0,0,2017,"2017"
2,1,"Medium","Medium",4,1,0,0,2017,"2017"
2,1,"Medium","Medium",5,1,1,0,2017,"2017"
2,1,"Medium","Medium",6,1,0,0,2017,"2017"
2,1,"Medium","Medium",7,1,0,0,2017,"2017"
2,1,"Medium","Medium",8,1,0,0,2017,"2017"
2,1,"Medium","Medium",9,0,0,0,2017,"2017"
2,1,"Medium","Medium",10,0,0,0,2017,"2017"
2,2,"Low","Low",1,0,0,0,2017,"2017"
2,2,"Low","Low",2,1,0,0,2017,"2017"
2,2,"Low","Low",3,1,0,0,2017,"2017"
2,2,"Low","Low",4,1,0,0,2017,"2017"
2,2,"Low","Low",5,0,0,0,2017,"2017"
2,2,"Low","Low",6,1,0,0,2017,"2017"
2,2,"Low","Low",7,1,0,0,2017,"2017"
2,2,"Low","Low",8,0,0,0,2017,"2017"
2,2,"Low","Low",9,1,0,0,2017,"2017"
2,2,"Low","Low",10,1,0,0,2017,"2017"
2,3,"High","High",1,1,0,0,2017,"2017"
2,3,"High","High",2,1,0,0,2017,"2017"
2,3,"High","High",3,1,1,1,2017,"2017"
2,3,"High","High",4,1,0,0,2017,"2017"
2,3,"High","High",5,1,0,0,2017,"2017"
2,3,"High","High",6,1,0,1,2017,"2017"
2,3,"High","High",7,1,1,0,2017,"2017"
2,3,"High","High",8,1,0,0,2017,"2017"
2,3,"High","High",9,0,0,0,2017,"2017"
2,3,"High","High",10,1,0,0,2017,"2017"
2,4,"Medium","Medium",1,0,0,0,2017,"2017"
2,4,"Medium","Medium",2,1,0,0,2017,"2017"
2,4,"Medium","Medium",3,1,0,0,2017,"2017"
2,4,"Medium","Medium",4,0,0,0,2017,"2017"
2,4,"Medium","Medium",5,1,0,0,2017,"2017"
2,4,"Medium","Medium",6,1,0,0,2017,"2017"
2,4,"Medium","Medium",7,1,0,0,2017,"2017"
2,4,"Medium","Medium",8,0,0,0,2017,"2017"
2,4,"Medium","Medium",9,1,0,0,2017,"2017"
2,4,"Medium","Medium",10,1,0,0,2017,"2017"
2,5,"High","High",1,1,0,1,2017,"2017"
2,5,"High","High",2,1,1,0,2017,"2017"
2,5,"High","High",3,1,0,0,2017,"2017"
2,5,"High","High",4,1,0,1,2017,"2017"
2,5,"High","High",5,1,1,0,2017,"2017"
2,5,"High","High",6,1,0,1,2017,"2017"
2,5,"High","High",7,1,1,0,2017,"2017"
2,5,"High","High",8,1,0,0,2017,"2017"
2,5,"High","High",9,0,0,0,2017,"2017"
2,5,"High","High",10,1,0,0,2017,"2017"
2,6,"Low","Low",1,0,0,0,2017,"2017"
2,6,"Low","Low",2,0,0,0,2017,"2017"
2,6,"Low","Low",3,1,0,0,2017,"2017"
2,6,"Low","Low",4,1,0,0,2017,"2017"
2,6,"Low","Low",5,0,0,0,2017,"2017"
2,6,"Low","Low",6,1,0,0,2017,"2017"
2,6,"Low","Low",7,1,0,0,2017,"2017"
2,6,"Low","Low",8,1,0,0,2017,"2017"
2,6,"Low","Low",9,1,0,0,2017,"2017"
2,6,"Low","Low",10,1,0,0,2017,"2017"
2,7,"Medium","Medium",1,1,0,0,2017,"2017"
2,7,"Medium","Medium",2,1,0,0,2017,"2017"
2,7,"Medium","Medium",3,1,0,0,2017,"2017"
2,7,"Medium","Medium",4,1,0,0,2017,"2017"
2,7,"Medium","Medium",5,1,0,0,2017,"2017"
2,7,"Medium","Medium",6,0,0,0,2017,"2017"
2,7,"Medium","Medium",7,1,0,0,2017,"2017"
2,7,"Medium","Medium",8,1,0,0,2017,"2017"
2,7,"Medium","Medium",9,1,0,0,2017,"2017"
2,7,"Medium","Medium",10,1,0,0,2017,"2017"
2,8,"Low","Low",1,0,0,0,2017,"2017"
2,8,"Low","Low",2,0,0,0,2017,"2017"
2,8,"Low","Low",3,0,0,0,2017,"2017"
2,8,"Low","Low",4,0,0,0,2017,"2017"
2,8,"Low","Low",5,0,0,0,2017,"2017"
2,8,"Low","Low",6,1,0,0,2017,"2017"
2,8,"Low","Low",7,0,0,0,2017,"2017"
2,8,"Low","Low",8,0,0,0,2017,"2017"
2,8,"Low","Low",9,1,0,0,2017,"2017"
2,8,"Low","Low",10,0,0,0,2017,"2017"
2,9,"High","High",1,0,0,0,2017,"2017"
2,9,"High","High",2,0,0,0,2017,"2017"
2,9,"High","High",3,0,0,0,2017,"2017"
2,9,"High","High",4,0,0,0,2017,"2017"
2,9,"High","High",5,0,0,0,2017,"2017"
2,9,"High","High",6,0,0,0,2017,"2017"
2,9,"High","High",7,0,0,0,2017,"2017"
2,9,"High","High",8,0,0,0,2017,"2017"
2,9,"High","High",9,0,0,0,2017,"2017"
2,9,"High","High",10,0,0,0,2017,"2017"
2,10,"Low","Low",1,0,0,0,2017,"2017"
2,10,"Low","Low",2,1,0,0,2017,"2017"
2,10,"Low","Low",3,1,0,0,2017,"2017"
2,10,"Low","Low",4,0,0,0,2017,"2017"
2,10,"Low","Low",5,1,0,0,2017,"2017"
2,10,"Low","Low",6,0,0,0,2017,"2017"
2,10,"Low","Low",7,0,0,0,2017,"2017"
2,10,"Low","Low",8,1,0,0,2017,"2017"
2,10,"Low","Low",9,1,0,0,2017,"2017"
2,10,"Low","Low",10,0,0,0,2017,"2017"
2,11,"High","High",1,1,0,0,2017,"2017"
2,11,"High","High",2,0,0,0,2017,"2017"
2,11,"High","High",3,1,0,0,2017,"2017"
2,11,"High","High",4,1,0,0,2017,"2017"
2,11,"High","High",5,0,0,0,2017,"2017"
2,11,"High","High",6,1,0,0,2017,"2017"
2,11,"High","High",7,1,0,0,2017,"2017"
2,11,"High","High",8,0,0,0,2017,"2017"
2,11,"High","High",9,1,1,0,2017,"2017"
2,11,"High","High",10,0,0,0,2017,"2017"
2,12,"Medium","Medium",1,1,0,0,2017,"2017"
2,12,"Medium","Medium",2,0,0,0,2017,"2017"
2,12,"Medium","Medium",3,1,0,0,2017,"2017"
2,12,"Medium","Medium",4,1,0,0,2017,"2017"
2,12,"Medium","Medium",5,1,0,0,2017,"2017"
2,12,"Medium","Medium",6,0,0,0,2017,"2017"
2,12,"Medium","Medium",7,1,1,0,2017,"2017"
2,12,"Medium","Medium",8,1,0,0,2017,"2017"
2,12,"Medium","Medium",9,1,0,0,2017,"2017"
2,12,"Medium","Medium",10,1,0,0,2017,"2017"
2,13,"Low","Low",1,1,0,0,2017,"2017"
2,13,"Low","Low",2,0,0,0,2017,"2017"
2,13,"Low","Low",3,1,0,0,2017,"2017"
2,13,"Low","Low",4,1,0,0,2017,"2017"
2,13,"Low","Low",5,0,0,0,2017,"2017"
2,13,"Low","Low",6,0,0,0,2017,"2017"
2,13,"Low","Low",7,0,0,0,2017,"2017"
2,13,"Low","Low",8,0,0,0,2017,"2017"
2,13,"Low","Low",9,0,0,0,2017,"2017"
2,13,"Low","Low",10,0,0,0,2017,"2017"
2,14,"Medium","Medium",1,1,0,0,2017,"2017"
2,14,"Medium","Medium",2,0,0,0,2017,"2017"
2,14,"Medium","Medium",3,1,1,0,2017,"2017"
2,14,"Medium","Medium",4,0,0,0,2017,"2017"
2,14,"Medium","Medium",5,0,0,0,2017,"2017"
2,14,"Medium","Medium",6,0,0,0,2017,"2017"
2,14,"Medium","Medium",7,0,0,0,2017,"2017"
2,14,"Medium","Medium",8,0,0,0,2017,"2017"
2,14,"Medium","Medium",9,1,0,0,2017,"2017"
2,14,"Medium","Medium",10,0,0,0,2017,"2017"
2,15,"High","High",1,0,0,0,2017,"2017"
2,15,"High","High",2,0,0,0,2017,"2017"
2,15,"High","High",3,0,0,0,2017,"2017"
2,15,"High","High",4,0,0,0,2017,"2017"
2,15,"High","High",5,0,0,0,2017,"2017"
2,15,"High","High",6,0,0,0,2017,"2017"
2,15,"High","High",7,0,0,0,2017,"2017"
2,15,"High","High",8,0,0,0,2017,"2017"
2,15,"High","High",9,0,0,0,2017,"2017"
2,15,"High","High",10,1,0,0,2017,"2017"
2,16,"Low","Low",1,0,0,0,2017,"2017"
2,16,"Low","Low",2,0,0,0,2017,"2017"
2,16,"Low","Low",3,0,0,0,2017,"2017"
2,16,"Low","Low",4,0,0,0,2017,"2017"
2,16,"Low","Low",5,0,0,0,2017,"2017"
2,16,"Low","Low",6,0,0,0,2017,"2017"
2,16,"Low","Low",7,0,0,0,2017,"2017"
2,16,"Low","Low",8,0,0,0,2017,"2017"
2,16,"Low","Low",9,0,0,0,2017,"2017"
2,16,"Low","Low",10,0,0,0,2017,"2017"
2,17,"High","High",1,0,0,0,2017,"2017"
2,17,"High","High",2,0,0,0,2017,"2017"
2,17,"High","High",3,0,0,0,2017,"2017"
2,17,"High","High",4,1,0,1,2017,"2017"
2,17,"High","High",5,0,0,0,2017,"2017"
2,17,"High","High",6,0,0,0,2017,"2017"
2,17,"High","High",7,0,0,0,2017,"2017"
2,17,"High","High",8,0,0,0,2017,"2017"
2,17,"High","High",9,1,1,0,2017,"2017"
2,17,"High","High",10,1,0,0,2017,"2017"
2,18,"Medium","Medium",1,1,0,0,2017,"2017"
2,18,"Medium","Medium",2,0,0,0,2017,"2017"
2,18,"Medium","Medium",3,0,0,0,2017,"2017"
2,18,"Medium","Medium",4,1,1,0,2017,"2017"
2,18,"Medium","Medium",5,1,0,0,2017,"2017"
2,18,"Medium","Medium",6,0,0,0,2017,"2017"
2,18,"Medium","Medium",7,1,1,0,2017,"2017"
2,18,"Medium","Medium",8,1,1,0,2017,"2017"
2,18,"Medium","Medium",9,1,1,0,2017,"2017"
2,18,"Medium","Medium",10,1,0,0,2017,"2017"
3,10,"High","High",1,0,0,0,2017,"2017"
3,10,"High","High",2,1,0,1,2017,"2017"
3,10,"High","High",3,1,0,0,2017,"2017"
3,10,"High","High",4,1,0,1,2017,"2017"
3,10,"High","High",5,1,0,0,2017,"2017"
3,10,"High","High",6,1,0,0,2017,"2017"
3,10,"High","High",7,1,0,0,2017,"2017"
3,10,"High","High",8,1,0,0,2017,"2017"
3,10,"High","High",9,1,0,0,2017,"2017"
3,10,"High","High",10,1,0,1,2017,"2017"
3,11,"Low","Low",1,0,0,0,2017,"2017"
3,11,"Low","Low",2,0,0,0,2017,"2017"
3,11,"Low","Low",3,0,0,0,2017,"2017"
3,11,"Low","Low",4,0,0,0,2017,"2017"
3,11,"Low","Low",5,1,0,0,2017,"2017"
3,11,"Low","Low",6,1,0,0,2017,"2017"
3,11,"Low","Low",7,1,0,0,2017,"2017"
3,11,"Low","Low",8,0,0,0,2017,"2017"
3,11,"Low","Low",9,1,0,0,2017,"2017"
3,11,"Low","Low",10,0,0,0,2017,"2017"
3,12,"Medium","Medium",1,0,0,0,2017,"2017"
3,12,"Medium","Medium",2,1,0,0,2017,"2017"
3,12,"Medium","Medium",3,1,1,0,2017,"2017"
3,12,"Medium","Medium",4,1,1,0,2017,"2017"
3,12,"Medium","Medium",5,0,0,0,2017,"2017"
3,12,"Medium","Medium",6,1,1,0,2017,"2017"
3,12,"Medium","Medium",7,1,0,0,2017,"2017"
3,12,"Medium","Medium",8,0,0,0,2017,"2017"
3,12,"Medium","Medium",9,1,0,0,2017,"2017"
3,12,"Medium","Medium",10,0,0,0,2017,"2017"
3,13,"Low","Low",1,0,0,0,2017,"2017"
3,13,"Low","Low",2,1,0,0,2017,"2017"
3,13,"Low","Low",3,0,0,0,2017,"2017"
3,13,"Low","Low",4,1,0,0,2017,"2017"
3,13,"Low","Low",5,1,0,0,2017,"2017"
3,13,"Low","Low",6,0,0,0,2017,"2017"
3,13,"Low","Low",7,1,0,0,2017,"2017"
3,13,"Low","Low",8,0,0,0,2017,"2017"
3,13,"Low","Low",9,0,0,0,2017,"2017"
3,13,"Low","Low",10,0,0,0,2017,"2017"
3,14,"High","High",1,0,0,0,2017,"2017"
3,14,"High","High",2,0,0,0,2017,"2017"
3,14,"High","High",3,1,1,0,2017,"2017"
3,14,"High","High",4,1,0,0,2017,"2017"
3,14,"High","High",5,1,0,0,2017,"2017"
3,14,"High","High",6,1,0,1,2017,"2017"
3,14,"High","High",7,1,0,0,2017,"2017"
3,14,"High","High",8,1,0,1,2017,"2017"
3,14,"High","High",9,1,1,0,2017,"2017"
3,14,"High","High",10,0,0,0,2017,"2017"
3,15,"Low","Low",1,1,0,0,2017,"2017"
3,15,"Low","Low",2,1,0,0,2017,"2017"
3,15,"Low","Low",3,1,0,0,2017,"2017"
3,15,"Low","Low",4,1,0,0,2017,"2017"
3,15,"Low","Low",5,1,0,0,2017,"2017"
3,15,"Low","Low",6,0,0,0,2017,"2017"
3,15,"Low","Low",7,0,0,0,2017,"2017"
3,15,"Low","Low",8,0,0,0,2017,"2017"
3,15,"Low","Low",9,1,0,0,2017,"2017"
3,15,"Low","Low",10,0,0,0,2017,"2017"
3,16,"Medium","Medium",1,1,0,0,2017,"2017"
3,16,"Medium","Medium",2,1,1,0,2017,"2017"
3,16,"Medium","Medium",3,1,0,0,2017,"2017"
3,16,"Medium","Medium",4,0,0,0,2017,"2017"
3,16,"Medium","Medium",5,0,0,0,2017,"2017"
3,16,"Medium","Medium",6,1,0,0,2017,"2017"
3,16,"Medium","Medium",7,0,0,0,2017,"2017"
3,16,"Medium","Medium",8,0,0,0,2017,"2017"
3,16,"Medium","Medium",9,0,0,0,2017,"2017"
3,16,"Medium","Medium",10,0,0,0,2017,"2017"
3,16,"Medium","Medium",11,0,0,0,2017,"2017"
3,17,"High","High",1,1,0,1,2017,"2017"
3,17,"High","High",2,0,0,0,2017,"2017"
3,17,"High","High",3,1,0,0,2017,"2017"
3,17,"High","High",4,0,0,0,2017,"2017"
3,17,"High","High",5,0,0,0,2017,"2017"
3,17,"High","High",6,1,0,1,2017,"2017"
3,17,"High","High",7,1,1,0,2017,"2017"
3,17,"High","High",8,0,0,0,2017,"2017"
3,17,"High","High",9,1,0,1,2017,"2017"
3,17,"High","High",10,1,1,0,2017,"2017"
3,17,"High","High",11,1,0,0,2017,"2017"
3,18,"Medium","Medium",1,0,0,0,2017,"2017"
3,18,"Medium","Medium",2,0,0,0,2017,"2017"
3,18,"Medium","Medium",3,1,0,0,2017,"2017"
3,18,"Medium","Medium",4,0,0,0,2017,"2017"
3,18,"Medium","Medium",5,0,0,0,2017,"2017"
3,18,"Medium","Medium",6,1,1,0,2017,"2017"
3,18,"Medium","Medium",7,0,0,0,2017,"2017"
3,18,"Medium","Medium",8,1,0,0,2017,"2017"
3,18,"Medium","Medium",9,0,0,0,2017,"2017"
3,18,"Medium","Medium",10,0,0,0,2017,"2017"
3,18,"Medium","Medium",11,1,0,0,2017,"2017"
4,15,"Low","Low",1,1,0,0,2018,"2018"
4,15,"Low","Low",2,1,0,0,2018,"2018"
4,15,"Low","Low",3,1,0,0,2018,"2018"
4,15,"Low","Low",4,0,0,0,2018,"2018"
4,15,"Low","Low",5,1,0,0,2018,"2018"
4,15,"Low","Low",6,1,0,0,2018,"2018"
4,15,"Low","Low",7,1,0,0,2018,"2018"
4,15,"Low","Low",8,1,0,0,2018,"2018"
4,15,"Low","Low",9,0,0,0,2018,"2018"
4,15,"Low","Low",10,1,0,0,2018,"2018"
4,15,"Low","Low",11,1,0,0,2018,"2018"
4,15,"Low","Low",12,0,0,0,2018,"2018"
4,15,"Low","Low",13,0,0,0,2018,"2018"
4,15,"Low","Low",14,0,0,0,2018,"2018"
4,15,"Low","Low",15,0,0,0,2018,"2018"
4,15,"Low","Low",16,0,0,0,2018,"2018"
4,15,"Low","Low",17,0,0,0,2018,"2018"
4,15,"Low","Low",18,0,0,0,2018,"2018"
4,17,"Medium","Medium",1,0,0,0,2018,"2018"
4,17,"Medium","Medium",2,0,0,0,2018,"2018"
4,17,"Medium","Medium",3,1,0,0,2018,"2018"
4,17,"Medium","Medium",4,0,0,0,2018,"2018"
4,17,"Medium","Medium",5,0,0,0,2018,"2018"
4,17,"Medium","Medium",6,1,0,0,2018,"2018"
4,17,"Medium","Medium",7,0,0,0,2018,"2018"
4,17,"Medium","Medium",8,0,0,0,2018,"2018"
4,17,"Medium","Medium",9,0,0,0,2018,"2018"
4,17,"Medium","Medium",10,0,0,0,2018,"2018"
4,18,"High","High",1,0,0,0,2018,"2018"
4,18,"High","High",2,0,0,0,2018,"2018"
4,18,"High","High",3,0,0,0,2018,"2018"
4,18,"High","High",4,1,0,0,2018,"2018"
4,18,"High","High",5,1,0,0,2018,"2018"
4,18,"High","High",6,1,0,0,2018,"2018"
4,18,"High","High",7,0,0,0,2018,"2018"
4,18,"High","High",8,1,0,0,2018,"2018"
4,18,"High","High",9,1,0,0,2018,"2018"
4,18,"High","High",10,1,1,0,2018,"2018"
4,18,"High","High",11,1,1,0,2018,"2018"
4,18,"High","High",12,1,0,0,2018,"2018"
4,18,"High","High",13,1,0,0,2018,"2018"
4,18,"High","High",14,1,1,1,2018,"2018"
4,18,"High","High",15,1,0,0,2018,"2018"
4,18,"High","High",16,0,0,0,2018,"2018"
4,18,"High","High",17,1,1,0,2018,"2018"
5,4,"Low","Low",1,1,0,0,2018,"2018"
5,4,"Low","Low",2,1,0,0,2018,"2018"
5,4,"Low","Low",3,1,0,0,2018,"2018"
5,4,"Low","Low",4,1,0,0,2018,"2018"
5,4,"Low","Low",5,0,0,0,2018,"2018"
5,4,"Low","Low",6,0,0,0,2018,"2018"
5,4,"Low","Low",7,0,0,0,2018,"2018"
5,4,"Low","Low",8,0,0,0,2018,"2018"
5,4,"Low","Low",9,1,0,0,2018,"2018"
5,4,"Low","Low",10,0,0,0,2018,"2018"
5,4,"Low","Low",11,0,0,0,2018,"2018"
5,4,"Low","Low",12,1,0,0,2018,"2018"
5,4,"Low","Low",13,0,0,0,2018,"2018"
5,4,"Low","Low",14,0,0,0,2018,"2018"
5,4,"Low","Low",15,0,0,0,2018,"2018"
5,4,"Low","Low",16,1,0,0,2018,"2018"
