"Trial","Reef","Treatment","T6.comparison","Year","Year.fact","avg.inhab","Predator.class","Score"
2,4,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
1,5,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
1,7,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
2,7,"Medium","Medium",2017,"2017",11,"Lethal.Threat",0
1,11,"Medium","Medium",2017,"2017",10,"Lethal.Threat",0
2,12,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
3,12,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
1,14,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
2,14,"Medium","Medium",2017,"2017",10,"Lethal.Threat",0
3,16,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
1,17,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
2,18,"Medium","Medium",2017,"2017",11,"Lethal.Threat",0
3,18,"Medium","Medium",2017,"2017",13,"Lethal.Threat",0
5,6,"High","High",2018,"2018",12,"Lethal.Threat",0.1
6,7,"High","High",2018,"2018",13,"Lethal.Threat",0.0666666666666667
5,9,"High","High",2018,"2018",12,"Lethal.Threat",0.1
6,10,"High","High",2018,"2018",12,"Lethal.Threat",0
5,12,"High","High",2018,"2018",10,"Lethal.Threat",0
5,15,"High","High",2018,"2018",15,"Lethal.Threat",0
6,17,"High","High",2018,"2018",11,"Lethal.Threat",0.1
4,18,"High","High",2018,"2018",13,"Lethal.Threat",0.0588235294117647
5,18,"High","High",2018,"2018",14,"Lethal.Threat",0
6,20,"High","High",2018,"2018",12,"Lethal.Threat",0.2
5,4,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,8,"Low","Low",2018,"2018",14,"Lethal.Threat",0
5,11,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,13,"Low","Low",2018,"2018",10,"Lethal.Threat",0
4,15,"Low","Low",2018,"2018",15,"Lethal.Threat",0
5,17,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,5,"Medium","Medium",2018,"2018",14,"Lethal.Threat",0
5,7,"Medium","Medium",2018,"2018",15,"Lethal.Threat",0
5,10,"Medium","Medium",2018,"2018",13,"Lethal.Threat",0
5,16,"Medium","Medium",2018,"2018",13,"Lethal.Threat",0
4,17,"Medium","Medium",2018,"2018",19,"Lethal.Threat",0
6,2,"High","Uncaged",2018,"2018",11,"Lethal.Threat",0
6,8,"High","Uncaged",2018,"2018",13,"Lethal.Threat",0.2
6,12,"High","Uncaged",2018,"2018",11,"Lethal.Threat",0.0833333333333333
6,19,"High","Uncaged",2018,"2018",12,"Lethal.Threat",0.0833333333333333
