Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
5,7/14/2018,2,11,2,Low,11,11,n,A
5,7/15/2018,2,12,2,Low,9,10,y,A
5,7/18/2018,3,15,2,Low,10,10,n,A
5,7/19/2018,3,16,2,Low,9,9,n,A
5,7/23/2018,3,20,2,Low,7,9,y,A
5,7/24/2018,3,21,2,Low,5,9,y,A
5,7/27/2018,4,23,2,Low,7,9,y,A
5,7/28/2018,4,24,2,Low,9,9,n,A
5,7/29/2018,4,25,2,Low,8,8,n,A
5,7/30/2018,4,26,2,Low,7,7,n,A
5,7/4/2018,1,1,3,Medium,14,15,y,A
5,7/5/2018,1,2,3,Medium,12,15,y,A
5,7/7/2018,1,4,3,Medium,12,15,y,A
5,7/8/2018,1,5,3,Medium,11,15,y,A
5,7/9/2018,1,6,3,Medium,14,15,y,A
5,7/10/2018,1,7,3,Medium,15,15,n,A
5,7/11/2018,1,7,3,Medium,10,10,n,A
5,7/14/2018,2,11,3,Medium,10,10,n,A
5,7/15/2018,2,12,3,Medium,9,10,y,A
5,7/18/2018,3,15,3,Medium,9,10,y,A
5,7/19/2018,3,16,3,Medium,10,10,n,A
5,7/23/2018,3,20,3,Medium,8,8,n,A
5,7/24/2018,3,21,3,Medium,4,7,y,A
5,7/27/2018,4,23,3,Medium,7,7,n,A
5,7/28/2018,4,24,3,Medium,6,6,n,A
5,7/29/2018,4,25,3,Medium,4,4,n,A
5,7/30/2018,4,26,3,Medium,3,3,n,A
5,7/4/2018,1,1,4,Low,12,15,y,A
5,7/5/2018,1,2,4,Low,11,15,y,A
5,7/7/2018,1,4,4,Low,15,15,n,A
5,7/8/2018,1,5,4,Low,8,15,y,A
5,7/9/2018,1,6,4,Low,15,15,n,A
5,7/10/2018,1,7,4,Low,13,13,n,A
5,7/11/2018,1,7,4,Low,9,11,y,A
5,7/14/2018,2,11,4,Low,10,11,y,A
5,7/15/2018,2,12,4,Low,8,11,y,A
5,7/18/2018,3,15,4,Low,10,11,y,A
5,7/19/2018,3,16,4,Low,8,11,y,A
5,7/23/2018,3,20,4,Low,11,11,n,A
5,7/24/2018,3,21,4,Low,8,8,n,A
5,7/27/2018,4,23,4,Low,7,7,n,A
5,7/28/2018,4,24,4,Low,5,5,n,A
5,7/29/2018,4,25,4,Low,4,5,y,A
5,7/30/2018,4,26,4,Low,5,5,n,A
5,7/4/2018,1,1,5,Medium,11,17,y,A
5,7/5/2018,1,2,5,Medium,12,17,y,A
5,7/7/2018,1,4,5,Medium,11,17,y,A
5,7/8/2018,1,5,5,Medium,17,17,n,A
5,7/9/2018,1,6,5,Medium,16,16,n,A
5,7/10/2018,1,7,5,Medium,15,15,n,A
5,7/11/2018,1,7,5,Medium,13,13,n,A
5,7/14/2018,2,11,5,Medium,13,13,n,A
5,7/15/2018,2,12,5,Medium,11,13,y,A
5,7/18/2018,3,15,5,Medium,13,13,n,A
5,7/19/2018,3,16,5,Medium,11,12,y,A
5,7/23/2018,3,20,5,Medium,12,12,n,A
5,7/24/2018,3,21,5,Medium,12,12,n,A
5,7/27/2018,4,23,5,Medium,7,7,n,A
5,7/28/2018,4,24,5,Medium,6,6,n,A
5,7/29/2018,4,25,5,Medium,6,6,n,A
5,7/30/2018,4,26,5,Medium,6,6,n,A
5,7/4/2018,1,1,6,High,11,13,y,A
5,7/5/2018,1,2,6,High,10,13,y,A
5,7/7/2018,1,4,6,High,10,13,y,A
5,7/8/2018,1,5,6,High,9,13,y,A
5,7/9/2018,1,6,6,High,10,13,y,A
5,7/10/2018,1,7,6,High,13,13,n,A
5,7/11/2018,1,7,6,High,11,13,y,A
5,7/14/2018,2,11,6,High,13,13,n,A
5,7/15/2018,2,12,6,High,7,7,n,A
5,7/18/2018,3,15,6,High,7,7,n,A
5,7/19/2018,3,16,6,High,3,3,n,A
5,7/23/2018,3,20,6,High,2,3,y,A
5,7/24/2018,3,21,6,High,2,3,y,A
5,7/27/2018,4,23,6,High,3,3,n,A
5,7/28/2018,4,24,6,High,3,3,n,A
5,7/29/2018,4,25,6,High,2,2,n,A
5,7/30/2018,4,26,6,High,0,0,n,A
5,7/5/2018,1,1,7,Medium,15,18,y,B
5,7/7/2018,1,3,7,Medium,16,18,y,B
5,7/8/2018,1,4,7,Medium,14,18,y,B
5,7/9/2018,1,5,7,Medium,16,18,y,B
5,7/10/2018,1,6,7,Medium,18,18,n,B
5,7/11/2018,1,6,7,Medium,15,15,n,B
5,7/14/2018,2,10,7,Medium,9,11,y,B
5,7/15/2018,2,11,7,Medium,9,11,y,B
5,7/18/2018,3,14,7,Medium,11,11,n,B
5,7/19/2018,3,15,7,Medium,7,7,n,B
5,7/23/2018,3,19,7,Medium,7,7,n,B
5,7/24/2018,3,20,7,Medium,7,7,n,B
5,7/27/2018,4,22,7,Medium,6,6,n,B
5,7/28/2018,4,23,7,Medium,4,6,y,B
5,7/29/2018,4,24,7,Medium,6,6,n,B
5,7/31/2018,4,26,7,Medium,6,6,n,B
