Year,Trial,Trial_duration_days,Trial_duration_week,Reef,Treatment,Treatment_power,T6_comparison,Egg_count_total,Egg_count_per_day,recollection_female,recollection_Male,recollection_male_and_female,biomass_female_gWW,biomass_male_gWW,total_biomass_gWW,egg_count_per_female_density_per_day,egg_count_per_female_biomass_per_day,egg_count_per_total_biomass_per_day,per_capita_female_biomass,mg,reproduction_per_capita_female_biomass_per_day_per_gram,Density,den.max,avg_den_24h,avg_den_max_seen,egg.week
2017,3,7,1,11,Low,no risk,NA,5133,733.2857143,4,1,5,1.74,0.62,2.36,183.3214286,421.4285714,310.7142857,0.435,435,1685.714286,13,13,9,9,5133
2017,3,7,1,13,Low,no risk,NA,805,115,3,1,4,1.65,0.28,1.93,38.33333333,69.6969697,59.58549223,0.55,550,209.0909091,12,12,8,8,805
2017,3,7,1,15,Low,no risk,NA,6033,861.8571429,5,1,6,1.81,0.74,2.55,172.3714286,476.1641673,337.9831933,0.362,362,2380.820837,14,14,10,10,6033
2018,4,28,4,1,Low,no risk,NA,8352,298.2857143,0,1,1,0,0.24,0.24,NA,NA,1242.857143,0,0,NA,14,14,7.5,7.5,2088
2018,4,28,4,6,Low,no risk,NA,13967,498.8214286,3,0,3,1.42,0,1.42,166.2738095,351.2826962,351.2826962,0.473333333,473.333333,1053.848089,17,17,10,10,3492
2018,4,28,4,9,Low,no risk,NA,11575,413.3928571,2,0,2,0.91,0,0.91,206.6964286,454.277865,454.277865,0.455,455,908.5557299,11,13,6.5,7.5,2894
2018,4,28,4,11,Low,no risk,NA,22407,800.25,10,5,15,5.13,4.44,9.57,80.025,155.994152,83.62068966,0.513,513,1559.94152,11,18,13,16.5,5602
2018,4,28,4,13,Low,no risk,NA,31385,1120.892857,12,1,13,5.72,0.77,6.49,93.4077381,195.9602897,172.7107638,0.476666667,476.666667,2351.523475,9,17,11,15,7847
2018,4,28,4,15,Low,no risk,NA,23966,855.9285714,5,4,9,2.34,3.4,5.74,171.1857143,365.7814408,149.1164759,0.468,468,1828.907204,10,16,9.5,12.5,5992
2018,5,27,4,2,Low,no risk,NA,19497,722.1111111,8,2,10,3.97,1.33,5.3,90.26388889,181.8919675,136.2473795,0.49625,496.25,1455.13574,9,12,9.5,11,4875
2018,5,27,4,4,Low,no risk,NA,23522,871.1851852,3,2,5,1.13,0.87,2,290.3950617,770.9603409,435.5925926,0.376666667,376.666667,2312.881021,12,15,8.5,10,5881
2018,5,27,4,8,Low,no risk,NA,19230,712.2222222,5,2,7,2.68,0.86,3.54,142.4444444,265.7545605,201.1927181,0.536,536,1328.772803,11,16,9,11.5,4808
2018,5,27,4,11,Low,no risk,NA,12008,444.7407407,3,3,6,1.09,1.34,2.43,148.2469136,408.0190282,183.020881,0.363333333,363.333333,1224.057086,14,17,10,11.5,3002
2018,5,27,4,13,Low,no risk,NA,3245,120.1851852,0,0,0,0,0,0,NA,NA,NA,0,0,NA,10,11,5,5.5,812
